Movie,Rec1,Rec2,Rec3,Rec4,Rec5,Rec6,Rec7,Rec8,Rec9,Rec10
i shot a man in vegas,0,0,0,0,0,0,0,0,0,0
parallel sons,0,0,0,0,0,0,0,0,0,0
hype!,0,0,0,0,0,0,0,0,0,0
santa with muscles,0,0,0,0,0,0,0,0,0,0
female perversions,0,0,0,0,0,0,0,0,0,0
mad dog time,0,0,0,0,0,0,0,0,0,0
breathing room,0,0,0,0,0,0,0,0,0,0
paris was a woman,0,0,0,0,0,0,0,0,0,0
i'm not rappaport,0,0,0,0,0,0,0,0,0,0
blue juice,0,0,0,0,0,0,0,0,0,0
kids of survival,0,0,0,0,0,0,0,0,0,0
alien³,0,0,0,0,0,0,0,0,0,0
an american werewolf in london,0,0,0,0,0,0,0,0,0,0
amityville: it's about time,0,0,0,0,0,0,0,0,0,0
amityville 3-d,0,0,0,0,0,0,0,0,0,0
amityville: dollhouse,0,0,0,0,0,0,0,0,0,0
amityville: a new generation,0,0,0,0,0,0,0,0,0,0
amityville ii: the possession,0,0,0,0,0,0,0,0,0,0
the amityville horror,0,0,0,0,0,0,0,0,0,0
the amityville curse,0,0,0,0,0,0,0,0,0,0
blood for dracula,0,0,0,0,0,0,0,0,0,0
april fool's day,0,0,0,0,0,0,0,0,0,0
audrey rose,0,0,0,0,0,0,0,0,0,0
the believers,panic in the streets,alice's restaurant,immortal,salt of this sea,casper,les cousins,fantozzi still suffers,angels and insects,burn after reading,corpse bride
the birds,requiem,straw dogs,the whole nine yards,ice age,the china syndrome,grease,spy game,berlin is in germany,the reaping,godzilla
the blob,0,0,0,0,0,0,0,0,0,0
blood beach,0,0,0,0,0,0,0,0,0,0
body parts,0,0,0,0,0,0,0,0,0,0
the body snatcher,0,0,0,0,0,0,0,0,0,0
dracula,thunderball,e.t. the extra-terrestrial,three colors: blue,blue velvet,diabolique,the wizard of oz,groundhog day,paradise now,persona,the flintstones in viva rock vegas
bride of frankenstein,the killing,true romance,flashdance,amélie,dial m for murder,notting hill,the science of sleep,the wanderers,7 virgins,people on sunday
burnt offerings,0,0,0,0,0,0,0,0,0,0
candyman,0,0,0,0,0,0,0,0,0,0
cape fear,hitman,the departed,the recruit,gigantics,mongolian ping pong,chelsea girls,erkan & stefan 2,rent,stuck on you,gattaca
cape fear,hitman,the departed,the recruit,gigantics,mongolian ping pong,chelsea girls,erkan & stefan 2,rent,stuck on you,gattaca
carrie,sense and sensibility,hang 'em high,sleuth,wattstax,the day after,the old gun,american heart,the mugger,kikujiro,one million years b.c.
cat people,the jane austen book club,blue thunder,impostor,fantômas: in the shadow of the guillotine,the magic flute,southland tales,schtonk!,charlie wilson's war,star command,what have you done to solange?
a nightmare on elm street,monsoon wedding,rain man,sissi,the passion of joan of arc,beauty and the beast,back to the future part ii,titanic,the conversation,three colors: red,48 hrs.
nosferatu,grill point,the passion of joan of arc,beauty and the beast,ariel,monsoon wedding,almost famous,rain man,imagine me & you,jurassic park,three colors: red
vampire in venice,0,0,0,0,0,0,0,0,0,0
the omen,three colors: blue,the wizard of oz,the french connection,paradise now,the weeping camel,persona,e.t. the extra-terrestrial,harry potter and the half-blood prince,blue velvet,shower
blood and wine,0,0,0,0,0,0,0,0,0,0
albino alligator,0,0,0,0,0,0,0,0,0,0
the mirror has two faces,0,0,0,0,0,0,0,0,0,0
breaking the waves,back to the future part ii,popular music,a nightmare on elm street,rain man,tough enough,ocean's twelve,armageddon,the passion of joan of arc,"bang, boom, bang",lost in translation
nightwatch,the magnificent ambersons,earth girls are easy,alice in the cities,don't look now,lassie come home,the glass house,aimee & jaguar,within the woods,gremlins 2: the new batch,attack of the killer tomatoes!
star trek: first contact,star trek ii: the wrath of khan,bringing up baby,letters from iwo jima,pandora's box,galaxy quest,broken blossoms,for a few dollars more,baise-moi,indochine,dr. strangelove or: how i learned to stop worrying and love the bomb
shine,0,0,0,0,0,0,0,0,0,0
sling blade,0,0,0,0,0,0,0,0,0,0
jingle all the way,0,0,0,0,0,0,0,0,0,0
identification of a woman,0,0,0,0,0,0,0,0,0,0
paradise lost: the child murders at robin hood hills,0,0,0,0,0,0,0,0,0,0
the preacher's wife,0,0,0,0,0,0,0,0,0,0
zero kelvin,0,0,0,0,0,0,0,0,0,0
ridicule,0,0,0,0,0,0,0,0,0,0
the crucible,0,0,0,0,0,0,0,0,0,0
101 dalmatians,0,0,0,0,0,0,0,0,0,0
the forbidden christ,0,0,0,0,0,0,0,0,0,0
i can't sleep,0,0,0,0,0,0,0,0,0,0
die hard 2,parenthood,rope,who killed bambi?,the passion of joan of arc,rambo iii,a nightmare on elm street,when saturday comes,beauty and the beast,monsoon wedding,will penny
star trek: the motion picture,jackie brown,the weeping camel,the ring,east of eden,the killing,vertigo,wild strawberries,diabolique,the fisher king,army of darkness
star trek vi: the undiscovered country,the crime of padre amaro,cube²: hypercube,live flesh,pocketful of miracles,the edukators,stolen kisses,batman & robin,8 mile,the silence of the lambs,good will hunting
star trek v: the final frontier,popular music,grill point,back to the future part iii,a clockwork orange,"20,000 leagues under the sea",jurassic park,the arrival of a train at la ciotat,rain man,tough enough,armageddon
star trek ii: the wrath of khan,letters from iwo jima,beverly hills cop iii,"rome, open city",indochine,broken flowers,flashdance,eight miles high,"the world, the flesh and the devil",die hard: with a vengeance,star trek: first contact
star trek iii: the search for spock,blackmail,klute,the day after tomorrow,bollywood/hollywood,aliens vs predator: requiem,ali: fear eats the soul,summer in berlin,saw iv,the endless summer,rebecca
star trek iv: the voyage home,bread and tulips,dave chappelle's block party,a clockwork orange,cockles and muscles,lost in translation,tough enough,big fish,the arrival of a train at la ciotat,rain man,contempt
batman returns,silent hill,to kill a mockingbird,monsoon wedding,reservoir dogs,wag the dog,the passion of joan of arc,the million dollar hotel,a nightmare on elm street,three colors: red,the 39 steps
young guns,0,0,0,0,0,0,0,0,0,0
young guns ii,0,0,0,0,0,0,0,0,0,0
grease,party monster,the world of apu,star trek: first contact,magnolia,diamonds are forever,city slickers,monster's ball,berlin is in germany,the harrad experiment,star trek ii: the wrath of khan
grease 2,0,0,0,0,0,0,0,0,0,0
marked for death,0,0,0,0,0,0,0,0,0,0
adrenalin: fear the rush,fantômas: in the shadow of the guillotine,the story of robin hood and his merrie men,age of consent,the old crocodile,the delivery,still bill,love & pop,the greatest movie ever sold,he's worse than me,hail the judge
the substance of fire,0,0,0,0,0,0,0,0,0,0
under siege,0,0,0,0,0,0,0,0,0,0
terror in a texas town,0,0,0,0,0,0,0,0,0,0
jaws,0,0,0,0,0,0,0,0,0,0
jaws 2,0,0,0,0,0,0,0,0,0,0
jaws 3-d,0,0,0,0,0,0,0,0,0,0
my fellow americans,0,0,0,0,0,0,0,0,0,0
mars attacks!,close encounters of the third kind,a few good men,goldeneye,open hearts,underworld: evolution,bridget jones's diary,airplane!,shaun of the dead,umberto d.,un chien andalou
citizen ruth,0,0,0,0,0,0,0,0,0,0
jerry maguire,0,0,0,0,0,0,0,0,0,0
raising arizona,casablanca,young adam,trouble in paradise,the edukators,willy wonka & the chocolate factory,muriel's wedding,night on earth,good will hunting,dead poets society,aliens vs predator: requiem
tin men,0,0,0,0,0,0,0,0,0,0
sneakers,the next best thing,miller's crossing,nowhere in africa,krull,will penny,copying beethoven,roger & me,hostel,the men,taxi 3
bastard out of carolina,0,0,0,0,0,0,0,0,0,0
in love and war,0,0,0,0,0,0,0,0,0,0
marvin's room,0,0,0,0,0,0,0,0,0,0
somebody is waiting,0,0,0,0,0,0,0,0,0,0
ghosts of mississippi,0,0,0,0,0,0,0,0,0,0
night falls on manhattan,0,0,0,0,0,0,0,0,0,0
beavis and butt-head do america,battle royale,death watch,frankenstein conquers the world,sicko,buddenbrooks,300,young and innocent,godzilla,dracula vs. frankenstein,a very long engagement
la cérémonie,0,0,0,0,0,0,0,0,0,0
scream,muxmäuschenstill,the prize,and then there were none,waiter,hot fuzz,the searchers,godzilla vs. mechagodzilla ii,a tale of two cities,hustle,the guardian
the last of the mohicans,0,0,0,0,0,0,0,0,0,0
michael,david,my step brother frankenstein,gerry,8 women,frankenstein,15 minutes,the prestige,veronika voss,in the name of the king: a dungeon siege tale,night watch
the evening star,0,0,0,0,0,0,0,0,0,0
hamlet,0,0,0,0,0,0,0,0,0,0
some mother's son,0,0,0,0,0,0,0,0,0,0
the whole wide world,0,0,0,0,0,0,0,0,0,0
mother,0,0,0,0,0,0,0,0,0,0
thieves,running wild,conquest of space,aladin,garfield,eating out: all you can eat,sorority boys,zombie flesh eaters,miss minoes,the naked man,the chosen
evita,0,0,0,0,0,0,0,0,0,0
the portrait of a lady,0,0,0,0,0,0,0,0,0,0
walkabout,0,0,0,0,0,0,0,0,0,0
message to love: the isle of wight festival,0,0,0,0,0,0,0,0,0,0
murder at 1600,0,0,0,0,0,0,0,0,0,0
hearts and minds,0,0,0,0,0,0,0,0,0,0
inside,0,0,0,0,0,0,0,0,0,0
fierce creatures,0,0,0,0,0,0,0,0,0,0
zeus & roxanne,0,0,0,0,0,0,0,0,0,0
turbulence,0,0,0,0,0,0,0,0,0,0
angel baby,robin hood: prince of thieves,scary movie 3,cabiria,may fools,love and other disasters,joint security area,begotten,sleeping with the enemy,elizabeth,the inquisitor
first strike,0,0,0,0,0,0,0,0,0,0
underworld,grbavica: the land of my dreams,night on earth,reservoir dogs,psycho,the devil wears prada,big fish,2001: a space odyssey,willy wonka & the chocolate factory,romeo + juliet,cat on a hot tin roof
beverly hills ninja,0,0,0,0,0,0,0,0,0,0
metro,the domino principle,dial 1119,jönssonligan får guldfeber,maradona by kusturica,red planet,s21: the khmer rouge death machine,boogeyman,brothers,an ideal husband,payment deferred
the machine,the delivery,big time,a song of lisbon,"a woman, a gun and a noodle shop",don't think about it,valley of flowers,in bar,once in a lifetime: the extraordinary story of the new york cosmos,circle of love,the prey
falling in love again,0,0,0,0,0,0,0,0,0,0
the cement garden,0,0,0,0,0,0,0,0,0,0
dante's peak,0,0,0,0,0,0,0,0,0,0
meet wally sparks,0,0,0,0,0,0,0,0,0,0
amos & andrew,0,0,0,0,0,0,0,0,0,0
benny & joon,the immoral mr. teas,the devil's own,blow,the return of martin guerre,orpheus,oscar,cyberjack,savior,dinner for one,grande école
prefontaine,bluebeard,the 'human' factor,citizen dog,the white massai,immortal,hard candy,whoever slew auntie roo?,l'avventura,waltz with bashir,slc punk
a tickle in the heart,0,0,0,0,0,0,0,0,0,0
guantanamera,0,0,0,0,0,0,0,0,0,0
mchale's navy,0,0,0,0,0,0,0,0,0,0
kolya,syriana,"bang, boom, bang",get carter,metropolis,run lola run,mrs. doubtfire,wag the dog,y tu mamá también,reservoir dogs,the passion of joan of arc
gridlock'd,0,0,0,0,0,0,0,0,0,0
fire on the mountain,0,0,0,0,0,0,0,0,0,0
waiting for guffman,0,0,0,0,0,0,0,0,0,0
prisoner of the mountains,0,0,0,0,0,0,0,0,0,0
the beautician and the beast,0,0,0,0,0,0,0,0,0,0
suburbia,0,0,0,0,0,0,0,0,0,0
hotel de love,0,0,0,0,0,0,0,0,0,0
the pest,0,0,0,0,0,0,0,0,0,0
fools rush in,notes on a scandal,bridge to terabithia,one night at mccool's,my name is bruce,young and innocent,twin peaks: fire walk with me,the chronicles of riddick: dark fury,arlington road,jacob's ladder,rope
touch,0,0,0,0,0,0,0,0,0,0
absolute power,before sunrise,la strada,antonia's line,"good bye, lenin!",out of africa,star trek v: the final frontier,a hard day's night,all the president's men,back to the future part iii,the assassination of richard nixon
that darn cat,0,0,0,0,0,0,0,0,0,0
vegas vacation,0,0,0,0,0,0,0,0,0,0
unforgotten: twenty-five years after willowbrook,0,0,0,0,0,0,0,0,0,0
that old feeling,0,0,0,0,0,0,0,0,0,0
lost highway,war of the worlds,charlie and the chocolate factory,twister,the birth of a nation,the good german,bad education,talk to her,open hearts,thunderball,casablanca
rosewood,0,0,0,0,0,0,0,0,0,0
donnie brasco,0,0,0,0,0,0,0,0,0,0
salut cousin !,0,0,0,0,0,0,0,0,0,0
booty call,0,0,0,0,0,0,0,0,0,0
rhyme & reason,0,0,0,0,0,0,0,0,0,0
boys life 2,0,0,0,0,0,0,0,0,0,0
city of industry,0,0,0,0,0,0,0,0,0,0
best men,0,0,0,0,0,0,0,0,0,0
jungle 2 jungle,0,0,0,0,0,0,0,0,0,0
kama sutra - a tale of love,0,0,0,0,0,0,0,0,0,0
private parts,0,0,0,0,0,0,0,0,0,0
love jones,0,0,0,0,0,0,0,0,0,0
the saint,0,0,0,0,0,0,0,0,0,0
smilla's sense of snow,0,0,0,0,0,0,0,0,0,0
the van,0,0,0,0,0,0,0,0,0,0
crash,walk the line,battle royale ii: requiem,das boot,over the top,dark blue almost black,manta - der film,star wars: episode iii - revenge of the sith,"brother sun, sister moon",twelve monkeys,beste zeit
the daytrippers,0,0,0,0,0,0,0,0,0,0
liar liar,fried green tomatoes,zazie dans le métro,small change,last tango in paris,the reaping,ice age,bird on a wire,viva zapata!,godzilla,dragonslayer
the quiet room,0,0,0,0,0,0,0,0,0,0
selena,0,0,0,0,0,0,0,0,0,0
the devil's own,benny & joon,hang 'em high,the return of martin guerre,orpheus,mermaids,one million years b.c.,"the good, the bad and the ugly",indecent proposal,the perfect storm,romeo is bleeding
cats don't dance,0,0,0,0,0,0,0,0,0,0
b.a.p.s.,0,0,0,0,0,0,0,0,0,0
love and other catastrophes,0,0,0,0,0,0,0,0,0,0
turbo: a power rangers movie,0,0,0,0,0,0,0,0,0,0
anna karenina,0,0,0,0,0,0,0,0,0,0
double team,0,0,0,0,0,0,0,0,0,0
inventing the abbotts,0,0,0,0,0,0,0,0,0,0
anaconda,0,0,0,0,0,0,0,0,0,0
grosse pointe blank,0,0,0,0,0,0,0,0,0,0
keys to tulsa,0,0,0,0,0,0,0,0,0,0
kissed,0,0,0,0,0,0,0,0,0,0
8 heads in a duffel bag,0,0,0,0,0,0,0,0,0,0
hollow reed,0,0,0,0,0,0,0,0,0,0
paradise road,0,0,0,0,0,0,0,0,0,0
traveller,0,0,0,0,0,0,0,0,0,0
all over me,0,0,0,0,0,0,0,0,0,0
a brother's kiss,0,0,0,0,0,0,0,0,0,0
a chef in love,0,0,0,0,0,0,0,0,0,0
romy and michele's high school reunion,0,0,0,0,0,0,0,0,0,0
temptress moon,0,0,0,0,0,0,0,0,0,0
volcano,0,0,0,0,0,0,0,0,0,0
children of the revolution,0,0,0,0,0,0,0,0,0,0
austin powers: international man of mystery,0,0,0,0,0,0,0,0,0,0
breakdown,sleepy hollow,anatomy of hell,superman,nobody knows,romeo is bleeding,the whole ten yards,the cotton club,the most dangerous game,the time machine,"gappa, the triphibian monster"
broken english,0,0,0,0,0,0,0,0,0,0
commandments,0,0,0,0,0,0,0,0,0,0
ripe,0,0,0,0,0,0,0,0,0,0
"truth or consequences, n.m.",0,0,0,0,0,0,0,0,0,0
the turning,0,0,0,0,0,0,0,0,0,0
warriors of virtue,0,0,0,0,0,0,0,0,0,0
fathers' day,0,0,0,0,0,0,0,0,0,0
the fifth element,million dollar baby,high noon,point break,monsieur  hulot's holiday,ocean's twelve,terminator 3: rise of the machines,rebecca,minority report,men in black ii,live and let die
intimate relations,0,0,0,0,0,0,0,0,0,0
nowhere,0,0,0,0,0,0,0,0,0,0
losing chase,0,0,0,0,0,0,0,0,0,0
sprung,0,0,0,0,0,0,0,0,0,0
the promise,to end all wars,the married couple of the year two,m. butterfly,the last king of scotland,stranded,law of desire,the 51st state,the wild child,michael collins,the woman in red
the promise,to end all wars,the married couple of the year two,m. butterfly,the last king of scotland,stranded,law of desire,the 51st state,the wild child,michael collins,the woman in red
the promise,to end all wars,the married couple of the year two,m. butterfly,the last king of scotland,stranded,law of desire,the 51st state,the wild child,michael collins,the woman in red
the promise,to end all wars,the married couple of the year two,m. butterfly,the last king of scotland,stranded,law of desire,the 51st state,the wild child,michael collins,the woman in red
le bonheur,0,0,0,0,0,0,0,0,0,0
love! valour! compassion!,0,0,0,0,0,0,0,0,0,0
shall we dance?,the red elvis,read it and weep,southland tales,idle hands,an american tail,the baby of mâcon,the sicilian clan,windows on monday,under the sand,monster hunter
the second jungle book: mowgli & baloo,0,0,0,0,0,0,0,0,0,0
twin town,0,0,0,0,0,0,0,0,0,0
addicted to love,die hard 2,when saturday comes,parenthood,rambo iii,meet the parents,fever pitch,aguirre: the wrath of god,the last mistress,or (my treasure),we own the night
brassed off,0,0,0,0,0,0,0,0,0,0
the designated mourner,0,0,0,0,0,0,0,0,0,0
the lost world: jurassic park,the fisher king,out of africa,anatomy of a murder,inspector gadget,vertigo,the assassination of richard nixon,"good bye, lenin!",back to the future part iii,a close shave,the cabinet of dr. caligari
ponette,0,0,0,0,0,0,0,0,0,0
schizopolis,0,0,0,0,0,0,0,0,0,0
shiloh,star 80,downhill racer,best worst movie,boogie nights,in time,righteous ties,k-19: the widowmaker,the tunnel,gravity,boat
the war at home,0,0,0,0,0,0,0,0,0,0
rough magic,0,0,0,0,0,0,0,0,0,0
trial and error,0,0,0,0,0,0,0,0,0,0
buddy,0,0,0,0,0,0,0,0,0,0
con air,being john malkovich,eight miles high,aelita: queen of mars,cold mountain,alien,24 hour party people,malcolm x,the karate kid,asterix at the olympic games,the breakfast club
late bloomers,0,0,0,0,0,0,0,0,0,0
the pillow book,green street hooligans,female agents,shock waves,cabin boy,friends with money,mouth to mouth,gomorrah,derailed,hoosiers,devil in a blue dress
to have (or not),0,0,0,0,0,0,0,0,0,0
speed 2: cruise control,rebecca,don't make waves,minority report,comanche station,twin peaks: fire walk with me,the cave of the yellow dog,men in black ii,bridge to terabithia,terminator 3: rise of the machines,fools rush in
squeeze,0,0,0,0,0,0,0,0,0,0
sudden manhattan,0,0,0,0,0,0,0,0,0,0
the next step,0,0,0,0,0,0,0,0,0,0
wedding bell blues,0,0,0,0,0,0,0,0,0,0
batman & robin,cube²: hypercube,good will hunting,pocketful of miracles,d.e.b.s.,the crime of padre amaro,the edukators,rashomon,the outsiders,man of iron,the cabinet of dr. caligari
dream with the fishes,0,0,0,0,0,0,0,0,0,0
roseanna's grave,0,0,0,0,0,0,0,0,0,0
head above water,0,0,0,0,0,0,0,0,0,0
hercules,0,0,0,0,0,0,0,0,0,0
the last time i committed suicide,0,0,0,0,0,0,0,0,0,0
murder and murder,0,0,0,0,0,0,0,0,0,0
my best friend's wedding,license to wed,confession of a child of the century,loose screws,5 card stud,bad boys ii,beetlejuice,shriek if you know what i did last friday the thirteenth,boat,cheerleaders' wild weekend,the mystery of chess boxing
tetsuo ii: body hammer,0,0,0,0,0,0,0,0,0,0
when the cat's away,0,0,0,0,0,0,0,0,0,0
contempt,big fish,the hours,romeo + juliet,psycho,titanic,the devil wears prada,night on earth,three colors: red,love actually,live and let die
face/off,eternal sunshine of the spotless mind,9 songs,harold and maude,"crouching tiger, hidden dragon",bed and board,the silence of the lambs,the godfather,to die for,the experiment,go for zucker
fall,0,0,0,0,0,0,0,0,0,0
gabbeh,0,0,0,0,0,0,0,0,0,0
mondo,0,0,0,0,0,0,0,0,0,0
the innocent sleep,0,0,0,0,0,0,0,0,0,0
for ever mozart,0,0,0,0,0,0,0,0,0,0
men in black,0,0,0,0,0,0,0,0,0,0
out to sea,0,0,0,0,0,0,0,0,0,0
wild america,0,0,0,0,0,0,0,0,0,0
a simple wish,0,0,0,0,0,0,0,0,0,0
contact,0,0,0,0,0,0,0,0,0,0
love serenade,0,0,0,0,0,0,0,0,0,0
g.i. jane,0,0,0,0,0,0,0,0,0,0
conan the barbarian,0,0,0,0,0,0,0,0,0,0
george of the jungle,0,0,0,0,0,0,0,0,0,0
cop land,james dean,"me, myself & irene",cutaway,conversations with my gardener,"i, robot",romeo must die,the getaway,the wedding planner,young frankenstein,some like it hot
event horizon,0,0,0,0,0,0,0,0,0,0
spawn,0,0,0,0,0,0,0,0,0,0
air bud,0,0,0,0,0,0,0,0,0,0
picture perfect,0,0,0,0,0,0,0,0,0,0
in the company of men,0,0,0,0,0,0,0,0,0,0
free willy 3: the rescue,0,0,0,0,0,0,0,0,0,0
career girls,0,0,0,0,0,0,0,0,0,0
conspiracy theory,0,0,0,0,0,0,0,0,0,0
desperate measures,0,0,0,0,0,0,0,0,0,0
steel,mondo topless,vice versa,l'avventura,combat shock,blondie plays cupid,1408,pumping iron,man push cart,in the name of the father,whoever slew auntie roo?
she's so lovely,0,0,0,0,0,0,0,0,0,0
hoodlum,0,0,0,0,0,0,0,0,0,0
leave it to beaver,0,0,0,0,0,0,0,0,0,0
mimic,lisa and the devil,"elvira, mistress of the dark",pusher,billion dollar brain,the chorus,read it and weep,fixing frank,scary movie 3,comanche station,the weather man
money talks,0,0,0,0,0,0,0,0,0,0
excess baggage,0,0,0,0,0,0,0,0,0,0
kull the conqueror,0,0,0,0,0,0,0,0,0,0
air force one,0,0,0,0,0,0,0,0,0,0
one eight seven,0,0,0,0,0,0,0,0,0,0
the hunt for red october,the reaping,raiders of the lost ark,changing lanes,ratatouille,last tango in paris,wet hot american summer,lost in space,the final cut,office space,basquiat
my own private idaho,night on earth,aliens vs predator: requiem,psycho,star wars,willy wonka & the chocolate factory,muriel's wedding,the green mile,the dark,young adam,the science of sleep
"kiss me, guido",0,0,0,0,0,0,0,0,0,0
star maps,0,0,0,0,0,0,0,0,0,0
in & out,0,0,0,0,0,0,0,0,0,0
the edge,0,0,0,0,0,0,0,0,0,0
the peacemaker,0,0,0,0,0,0,0,0,0,0
l.a. confidential,the most dangerous game,confidentially yours,closer,two brothers,nobody knows,voyage to the bottom of the sea,dog day afternoon,that most important thing: love,dr. jekyll and mr. hyde,superstar: the karen carpenter story
seven years in tibet,0,0,0,0,0,0,0,0,0,0
kiss the girls,0,0,0,0,0,0,0,0,0,0
soul food,0,0,0,0,0,0,0,0,0,0
kicked in the head,0,0,0,0,0,0,0,0,0,0
wishmaster,0,0,0,0,0,0,0,0,0,0
a thousand acres,0,0,0,0,0,0,0,0,0,0
the game,in the mouth of madness,hard candy,the mothman prophecies,aces go places v: the terracotta hit,immortal,airplane ii: the sequel,the chronicles of narnia: prince caspian,rize,the bible: in the beginning...,les cousins
fire down below,0,0,0,0,0,0,0,0,0,0
u turn,0,0,0,0,0,0,0,0,0,0
the locusts,0,0,0,0,0,0,0,0,0,0
the matchmaker,0,0,0,0,0,0,0,0,0,0
the assignment,0,0,0,0,0,0,0,0,0,0
a smile like yours,0,0,0,0,0,0,0,0,0,0
ulee's gold,0,0,0,0,0,0,0,0,0,0
the ice storm,0,0,0,0,0,0,0,0,0,0
stag,0,0,0,0,0,0,0,0,0,0
chasing amy,sun alley,the house of the spirits,running out of time,veronika voss,balzac and the little chinese seamstress,wasabi,tie me up! tie me down!,romeo is bleeding,night watch,children of paradise
def jam's how to be a player,0,0,0,0,0,0,0,0,0,0
the full monty,0,0,0,0,0,0,0,0,0,0
alive and kicking,0,0,0,0,0,0,0,0,0,0
mrs brown,0,0,0,0,0,0,0,0,0,0
i know what you did last summer,scream 2,return of the ghostbusters,twelve plus one,the broken,shoot 'em up,best seller,the french revolution,star wars: episode iii - revenge of the sith,the mask of fu manchu,a good marriage
the devil's advocate,0,0,0,0,0,0,0,0,0,0
rocketman,0,0,0,0,0,0,0,0,0,0
playing god,0,0,0,0,0,0,0,0,0,0
the house of yes,0,0,0,0,0,0,0,0,0,0
"fast, cheap & out of control",0,0,0,0,0,0,0,0,0,0
washington square,0,0,0,0,0,0,0,0,0,0
telling lies in america,0,0,0,0,0,0,0,0,0,0
year of the horse,0,0,0,0,0,0,0,0,0,0
gattaca,m,pünktchen und anton,rosemary's baby,hero,almost famous,la jetée,the departed,armageddon,barren lives,mongolian ping pong
fairytale: a true story,0,0,0,0,0,0,0,0,0,0
phantoms,0,0,0,0,0,0,0,0,0,0
swept from the sea,8 women,enough,the bachelor,the elephant man,the prestige,gerry,mission to mars,frankenstein unbound,in the name of the king: a dungeon siege tale,cars
wonderland,0,0,0,0,0,0,0,0,0,0
a life less ordinary,0,0,0,0,0,0,0,0,0,0
hurricane streets,0,0,0,0,0,0,0,0,0,0
eve's bayou,0,0,0,0,0,0,0,0,0,0
switchback,0,0,0,0,0,0,0,0,0,0
gang related,0,0,0,0,0,0,0,0,0,0
stripes,0,0,0,0,0,0,0,0,0,0
nenette and boni,0,0,0,0,0,0,0,0,0,0
bean,lotte from gadgetville,the big sleep,murder she said,cool hand luke,dawn of the dead,dead man,the mourning forest,the thomas crown affair,hard target,meet me in st. louis
hugo pool,0,0,0,0,0,0,0,0,0,0
mad city,0,0,0,0,0,0,0,0,0,0
one night stand,0,0,0,0,0,0,0,0,0,0
the tango lesson,0,0,0,0,0,0,0,0,0,0
welcome to sarajevo,0,0,0,0,0,0,0,0,0,0
deceiver,0,0,0,0,0,0,0,0,0,0
the rainmaker,0,0,0,0,0,0,0,0,0,0
boogie nights,5 card stud,the tunnel,shriek if you know what i did last friday the thirteenth,license to wed,young and innocent,and then there were none,the million dollar hotel,mothra vs. godzilla,under the sand,say anything...
witness,0,0,0,0,0,0,0,0,0,0
incognito,china seas,the holy modal rounders: bound to lose,top of the food chain,twilight,cheerleaders' wild weekend,he's worse than me,wish you were here,land of silence and darkness,union station,downhill racer
starship troopers,swimming pool,12 angry men,the godfather: part iii,north by northwest,the simpsons movie,berlin is in germany,stalag 17,batman begins,saw iii,gloomy sunday
critical care,0,0,0,0,0,0,0,0,0,0
the joy luck club,0,0,0,0,0,0,0,0,0,0
chairman of the board,0,0,0,0,0,0,0,0,0,0
sliding doors,0,0,0,0,0,0,0,0,0,0
mortal kombat: annihilation,0,0,0,0,0,0,0,0,0,0
the truman show,0,0,0,0,0,0,0,0,0,0
the wings of the dove,0,0,0,0,0,0,0,0,0,0
mrs. dalloway,0,0,0,0,0,0,0,0,0,0
"i love you, i love you not",0,0,0,0,0,0,0,0,0,0
red corner,0,0,0,0,0,0,0,0,0,0
the jackal,the kite runner,once,open season,the fox & the child,the angry red planet,the story of robin hood and his merrie men,american grindhouse,the weather man,the sentinel,big trouble in little china
anastasia,0,0,0,0,0,0,0,0,0,0
the man who knew too little,0,0,0,0,0,0,0,0,0,0
alien: resurrection,0,0,0,0,0,0,0,0,0,0
alien escape,0,0,0,0,0,0,0,0,0,0
amistad,0,0,0,0,0,0,0,0,0,0
the apostle,0,0,0,0,0,0,0,0,0,0
artemisia,0,0,0,0,0,0,0,0,0,0
bent,0,0,0,0,0,0,0,0,0,0
bang,0,0,0,0,0,0,0,0,0,0
the boys,0,0,0,0,0,0,0,0,0,0
the butcher boy,0,0,0,0,0,0,0,0,0,0
deconstructing harry,8 women,tie me up! tie me down!,the three musketeers,gerry,the prestige,in the name of the king: a dungeon siege tale,running out of time,final fantasy: the spirits within,a star is born,the elephant man
flubber,0,0,0,0,0,0,0,0,0,0
for richer or poorer,0,0,0,0,0,0,0,0,0,0
good will hunting,batman & robin,the crime of padre amaro,the edukators,pocketful of miracles,d.e.b.s.,cube²: hypercube,lucky number slevin,raising arizona,the lord of the rings: the return of the king,the cabinet of dr. caligari
guy,chi lavora è perduto,one in the chamber,austin high,the battle of sutjeska,the short game,a cure for love,war of the arrows,hellgate,don't touch the axe,fantasma
tar,0,0,0,0,0,0,0,0,0,0
home alone 3,0,0,0,0,0,0,0,0,0,0
ill gotten gains,0,0,0,0,0,0,0,0,0,0
man of her dreams,0,0,0,0,0,0,0,0,0,0
midnight in the garden of good and evil,ronin,the final countdown,dreamland,p.s. i love you,the lost continent,the unforgiven,die hard: with a vengeance,wizards of the lost kingdom,"the world, the flesh and the devil",keoma
mousehunt,"cousin, cousine",the in-laws,hour of the gun,we're no angels,severance,the red and the white,the halliday brand,ken park,5 card stud,my best friend's wedding
never met picasso,0,0,0,0,0,0,0,0,0,0
office killer,0,0,0,0,0,0,0,0,0,0
other voices other rooms,0,0,0,0,0,0,0,0,0,0
